Référence,Nom Module,Abréviation,Coefficient,UE,Semestre,Responsable
M1201,Architecture et programmation des mécanismes de base d'un système informatique ,SE-2,1.5,UE12,S2,Roussel
M1202,Architecture des réseaux ,RX-1,1.5,UE12,S2,Roussel
M1203,Bases de la programmation orientée objet  ,POO-1,3.5,UE12,S2,Salhi
M1204,Bases de la conception orientée objet,COO-1,2.5,UE12,S2,Varzinczak
M1205,Introduction aux interfaces homme-machine (IHM) ,IHM-1,2.5,UE12,S2,Koriche
M1206,Programmation et administration des bases de données ,BD-2,2.5,UE12,S2,Boussemart
M1207,Projet tutoré – Description et planification de projet,PT-2,2.0,UE12,S2,Koriche
M2201,Graphes et langages ,GL,2.5,UE22,S2,Fourrlegnie
M2202,Analyse et méthodes numériques ,AN,2.0,UE22,S2,El Rezzi
M2203,"Environnement comptable, financier, juridique et Social",ECFJS,3.0,UE22,S2,Legros
M2204,Gestion de projet informatique ,GPI,1.5,UE22,S2,Legros
M2205," Expression-Communication – Communication, information et argumentation ",ECIA,1.5,UE22,S2,Membré
M2206,Communiquer en anglais,Anglais-2,2.5,UE22,S2,Prensier
M2207,PPP -  Identifier ses compétences,PPP-2,1.0,UE22,S2,Masquelin/Membré
,,,,,,
,,,,,,
UE11,Approfondissements en informatique ,16,,,,
UE21,"Approfondissements en culture scientifique, sociale et humaine",14,,,,
,,,,,,
Département,INFO,,,,,
Année,INFO1,,,,,
Date début,23/01/2017,,,,,
Date de fin ,31/06/2017,,,,,
Semestre,S2,,,,,
