Référence;Nom Module;Abréviation;Coefficient;UE;Semestre;Responsable
M3101;Principes des systèmes d'exploitation ;SE-3;2.5;UE31;S3;Roussel
M3102;Services réseaux ;RX-2;1.5;UE31;S3;Condotta
M3103;Algorithmique avancée;APA;1.5;UE31;S3;piette
M3104;Programmation Web côté serveur ;Pweb-1;2.5;UE31;S3;Hemery
M3105;Conception et programmation objet avancées ;CPA;2.5;UE31;S3;Audemard
M3106;Bases de données avancées ;BDA;1.5;UE31;S3;Boussemart
M3201;Probabilités et statistiques ;Proba;2.5;UE32;S3;EL Rezzi
M3202;Modélisations mathématiques ;ModMath;1.5;UE32;S3;Fregiez
M3203;Droit des technologies de l’information et de la communication (TIC) ;Droit;1.5;UE32;S3;Legros
M3204;Gestion des systèmes d'information ;GSI;2.5;UE32;S3;Lebros
M3205;Expression-Communication – Communication professionnelle ;Com;1.5;UE32;S3;Membré
M3206;Collaborer en anglais;Ang-3;2.5;UE32;S3;Prenzier
M3301;Méthodologie de la production d’applications ;ProdApp;3;UE33;S3;Buchon
M3302;Projet tutoré – Mise en situation professionnelle ;PT-3;2;UE33;S3;Hsu
M3303;PPP – Préciser son projet ;PPP-3;1;UE33;S3;Membré
;;;;;;
;;;;;;
UE31;Informatique Avancé;12;;;;
UE32;Culture scientifique, sociale et humaine avancées;12;;;;
UE33;Méthodologie et Projets;6;;;;
;;;;;;
Département;INFO;;;;;
Année;INFO2;;;;;
Date début;01/09/2016;;;;;
Date de fin ;31/06/2017;;;;;
Semestre;S3;;;;;
